10728                         60133,971429
10222                         29780,583333
10794                         29681,702381
10142                         25719,828571
10050                         25576,266667
10876                         25037,183333
10849                         25021,083333
11174                         20819,866667
11050                         20138,495238
10365                         19730,450000
11105                         18437,783333
10368                         17164,566667
11030                         17126,416667
11237                         17076,766667
11148                         17012,900000
10872                         15388,666667
10892                         14867,016667
11027                         14831,866667
11171                         14732,500000
11137                         14691,600000
10454                         13723,730952
11140                         13500,683333
10537                         13011,400000
11058                         12349,616667
10116                         12052,200000
10990                         11132,616667
10729                         10502,466667
11191                         9661,747619
10401                         9520,700000
10051                         9378,816667
10777                         8962,500000
10859                         8830,833333
10831                         8784,073810
10779                         8575,333333
10692                         8075,116667
10629                         7806,516667
10981                         7476,250000
10793                         6412,459524
10482                         6312,633333
11012                         6147,966667
10948                         5950,333333
10325                         5931,450000
11239                         5917,650000
10130                         5723,500000
11120                         5399,000000
10226                         4978,583333
11129                         4812,133333
10996                         4778,083333
11098                         4451,316667
10534                         4382,183333
10853                         4366,733333
10216                         4359,550000
10976                         4312,633333
10431                         4188,383333
10985                         4179,083333
10410                         4109,800000
11063                         4000,666667
10992                         4000,016667
10983                         3919,416667
10024                         3892,633333
10724                         3848,566667
10220                         3816,766667
10873                         3789,266667
10584                         3680,000000
10121                         3586,666667
10578                         3546,650000
10573                         3482,414286
10727                         3441,033333
11110                         3333,961905
11162                         3219,566667
11069                         3197,133333
10485                         3118,400000
11214                         3021,509524
10043                         3019,050000
11112                         3018,750000
10916                         2952,083333
10436                         2945,300000
10093                         2928,683333
10754                         2909,216667
11227                         2883,311905
10509                         2747,400000
10610                         2742,916667
10049                         2686,002381
10628                         2655,000000
10322                         2629,066667
11111                         2610,266667
10104                         2606,033333
10323                         2546,066667
11230                         2506,966667
10804                         2505,333333
11213                         2453,733333
11164                         2434,650000
11238                         2425,866667
10926                         2418,150000
10499                         2406,669048
10018                         2319,500000
11099                         2301,316667
10075                         2293,166667
10326                         2263,983333
10449                         2218,300000
11224                         2199,766667
10329                         2196,250000
10690                         2139,233333
10848                         2077,733333
11097                         2035,083333
11126                         1986,466667
10541                         1983,166667
10463                         1980,083333
10648                         1966,850000
11202                         1957,650000
11244                         1954,000000
10647                         1927,233333
10466                         1901,050000
10012                         1833,500000
10072                         1831,500000
10847                         1824,000000
10894                         1798,716667
10684                         1782,883333
10378                         1714,250000
10893                         1713,566667
10773                         1707,642857
10386                         1666,200000
11149                         1622,866667
10732                         1616,476190
10123                         1616,333333
10644                         1533,600000
10444                         1530,466667
10464                         1526,950000
10022                         1476,700000
10577                         1472,133333
11014                         1471,116667
10086                         1467,400000
10599                         1450,466667
11190                         1449,604762
11187                         1440,521429
10783                         1404,523810
10786                         1382,900000
10956                         1381,700000
10035                         1375,666667
11182                         1328,883333
11094                         1313,850000
10052                         1288,383333
10457                         1285,666667
10488                         1276,050000
10808                         1262,116667
10310                         1260,416667
10616                         1257,500000
10352                         1241,666667
10871                         1219,666667
10395                         1152,666667
10776                         1150,200000
10789                         1147,150000
10705                         1140,000000
10379                         1133,583333
11016                         1120,716667
10094                         1109,966667
10101                         1075,716667
11033                         1071,000000
10961                         1069,833333
10545                         1069,066667
10129                         1068,666667
11067                         1055,000000
11156                         1050,700000
10114                         1018,400000
11250                         1000,933333
10811                         988,250000
10659                         985,466667
10201                         984,916667
10036                         966,833333
10857                         955,066667
11116                         938,750000
10748                         927,816667
10931                         923,333333
11128                         921,500000
11086                         911,250000
10017                         906,500000
10702                         902,500000
10828                         894,750000
10881                         875,333333
10951                         860,400000
11122                         848,666667
10858                         823,500000
10345                         821,350000
10390                         810,816667
11193                         798,500000
10576                         797,133333
10338                         772,833333
10367                         766,000000
10632                         757,000000
11186                         751,759524
10219                         751,733333
11166                         751,666667
10048                         742,866667
10935                         723,316667
10691                         719,450000
10494                         702,083333
10630                         692,500000
10342                         691,566667
10919                         685,666667
10949                         674,400000
10370                         674,133333
10210                         669,066667
11017                         668,233333
11031                         663,166667
10668                         661,833333
10641                         659,816667
11195                         659,033333
11210                         654,766667
10745                         634,666667
10387                         632,216667
11034                         624,166667
10757                         618,300000
11088                         617,200000
10601                         613,166667
11145                         607,466667
11194                         604,666667
10081                         600,983333
10478                         591,583333
10587                         590,333333
10698                         588,450000
10582                         588,000000
11215                         586,416667
10066                         576,900000
11113                         574,300000
10083                         574,066667
10375                         565,666667
11181                         554,833333
10934                         550,333333
10637                         547,700000
10005                         542,050000
10015                         540,333333
10335                         533,466667
10566                         524,083333
11021                         522,900000
10224                         519,333333
10517                         511,450000
10315                         507,733333
10016                         506,666667
10615                         496,000000
10720                         490,966667
10070                         490,333333
10696                         474,500000
10868                         470,000000
10886                         458,166667
10371                         448,233333
10731                         447,666667
10409                         447,333333
10461                         446,500000
10874                         433,850000
10125                         430,000000
10765                         427,483333
10383                         421,666667
11091                         417,333333
10907                         414,833333
11247                         412,066667
10532                         402,900000
10710                         402,666667
10815                         402,650000
10624                         401,566667
10063                         397,369048
11019                         396,333333
11121                         390,483333
10324                         388,750000
10972                         386,233333
10614                         385,400000
10781                         381,700000
10549                         378,533333
11143                         372,676190
10840                         363,333333
10750                         362,750000
10294                         360,466667
10910                         355,666667
10875                         352,933333
11150                         350,166667
10891                         341,916667
10913                         340,166667
10898                         338,500000
11005                         330,333333
10355                         325,500000
11003                         322,000000
10432                         313,333333
10460                         307,333333
10221                         302,816667
10363                         301,666667
10042                         296,400000
10350                         294,833333
10438                         294,733333
10011                         292,500000
10590                         287,333333
11057                         287,000000
10159                         284,000000
10581                         280,400000
10654                         280,300000
10421                         280,166667
10994                         279,000000
11185                         274,550000
10084                         273,666667
10694                         273,333333
10704                         272,666667
11082                         271,466667
10603                         270,700000
10904                         268,666667
10674                         260,083333
10427                         260,000000
10531                         258,666667
10560                         254,900000
10807                         253,666667
10866                         250,483333
10533                         250,233333
10162                         248,000000
10869                         246,416667
11158                         246,233333
10542                         238,166667
10139                         228,833333
10572                         226,854762
11218                         225,833333
10097                         225,416667
10922                         223,333333
10946                         220,333333
10930                         220,000000
11243                         217,166667
10527                         216,400000
11036                         206,000000
11039                         200,166667
10202                         199,000000
10945                         197,583333
10361                         197,333333
10357                         192,666667
11136                         192,000000
